n,ProbB.ticks,,
0,0,0,0
1,0,0,0
2,1,1,0
3,3,3,0
4,6,6,0
5,10,10,0
6,15,15,0
7,21,21,0
8,28,28,0
9,36,36,0
10,45,45,0
11,55,55,0
12,66,66,0
13,78,78,0
14,91,91,0
15,105,105,0
16,120,120,0
17,136,136,0
18,153,153,0
19,171,171,0
20,190,190,0
21,210,210,0
22,231,231,0
23,253,253,0
24,276,276,0
25,300,300,0
26,325,325,0
27,351,351,0
28,378,378,0
29,406,406,0
30,435,435,0
31,465,465,0
32,496,496,0
33,528,528,0
34,561,561,0
35,595,595,0
36,630,630,0
37,666,666,0
38,703,703,0
39,741,741,0
40,780,780,0
41,820,820,0
42,861,861,0
43,903,903,0
44,946,946,0
45,990,990,0
46,1035,1035,0
47,1081,1081,0
48,1128,1128,0
49,1176,1176,0
50,1225,1225,0
51,1275,1275,0
52,1326,1326,0
53,1378,1378,0
54,1431,1431,0
55,1485,1485,0
56,1540,1540,0
57,1596,1596,0
58,1653,1653,0
59,1711,1711,0
60,1770,1770,0
61,1830,1830,0
62,1891,1891,0
63,1953,1953,0
64,2016,2016,0
65,2080,2080,0
66,2145,2145,0
67,2211,2211,0
68,2278,2278,0
69,2346,2346,0
70,2415,2415,0
71,2485,2485,0
72,2556,2556,0
73,2628,2628,0
74,2701,2701,0
75,2775,2775,0
76,2850,2850,0
77,2926,2926,0
78,3003,3003,0
79,3081,3081,0
80,3160,3160,0
81,3240,3240,0
82,3321,3321,0
83,3403,3403,0
84,3486,3486,0
85,3570,3570,0
86,3655,3655,0
87,3741,3741,0
88,3828,3828,0
89,3916,3916,0
90,4005,4005,0
91,4095,4095,0
92,4186,4186,0
93,4278,4278,0
94,4371,4371,0
95,4465,4465,0
96,4560,4560,0
97,4656,4656,0
98,4753,4753,0
99,4851,4851,0