n,heapsort.ticks,nlog(n),ticks/(nlog(n)),linear
150000,3579338,2579190.446,1.387775767,3579338
180000,4344190,3142374.729,1.382454473,4295205.6
210000,5114271,3712806.258,1.377467781,5011073.2
240000,5889321,4289441.971,1.372980691,5726940.8
270000,6669343,4871501.968,1.369052716,6442808.4
300000,7458127,5458380.893,1.366362507,7158676
330000,8252241,6049595.145,1.36409806,7874543.6
360000,9050102,6644749.457,1.361992963,8590411.2
390000,9848407,7243514.693,1.359617177,9306278.8
420000,10650918,7845612.517,1.357563603,10022146.4
450000,11450967,8450804.464,1.355015022,10738014
480000,12256880,9058883.943,1.353023185,11453881.6
510000,13063191,9669670.238,1.350944828,12169749.2
540000,13874272,10283003.94,1.349243089,12885616.8
570000,14693814,10898743.36,1.348211762,13601484.4
600000,15517573,11516761.79,1.34739029,14317352
630000,16341073,12136945.15,1.346390941,15033219.6
660000,17162518,12759190.29,1.345110278,15749087.2
690000,17990612,13383403.42,1.344247905,16464954.8
720000,18818192,14009498.91,1.343245188,17180822.4
750000,19647188,14637398.3,1.342259573,17896690
780000,20478643,15267029.39,1.34136396,18612557.6
810000,21309493,15898325.53,1.340360842,19328425.2
840000,22138610,16531225.03,1.339199603,20044292.8
870000,22971241,17165670.61,1.33820819,20760160.4
900000,23805615,17801608.93,1.337273226,21476028
930000,24639099,18438990.21,1.33624991,22191895.6
960000,25473789,19077767.89,1.335260454,22907763.2
990000,26307867,19717898.31,1.334212531,23623630.8
1020000,27146442,20359340.48,1.333365491,24339498.4
1050000,27983011,21002055.79,1.332393899,25055366
1080000,28828215,21646007.87,1.331802851,25771233.6
1110000,29676061,22291162.35,1.331292668,26487101.2
1140000,30528660,22937486.73,1.330950525,27202968.8
1170000,31377614,23584950.21,1.330408321,27918836.4
1200000,32232251,24233523.57,1.330068692,28634704
1230000,33082948,24883179.07,1.3295306,29350571.6
1260000,33939158,25533890.3,1.329180849,30066439.2
1290000,34792551,26185632.13,1.328688604,30782306.8
1320000,35650335,26838380.58,1.328334059,31498174.4
1350000,36505111,27492112.77,1.327839417,32214042
1380000,37360449,28146806.83,1.32734236,32929909.6
1410000,38219179,28802441.86,1.326942319,33645777.2
1440000,39079134,29458997.83,1.326560198,34361644.8
1470000,39936786,30116455.54,1.32607856,35077512.4